name,phénix,"phénix (french for [[wikt:phoenix|phoenix]]) was a small-scale (gross 264/net 233 mw<sub>e</sub>) prototype [[fast breeder reactor]], located at the [[marcoule]] nuclear site, near [[orange, france]].",f
name,phénix,phénix continued operating after the closure of the subsequent full-scale prototype [[superphénix]] in 1997.,f
name,phénix,phénix was shut down in 2009.<ref,f
name,phénix,"marcoule site, with the phénix reactor on the left side]] construction of phénix began in november 1968.",f
name,phénix,"name=iaea-pris/>  the [[astrid (reactor)|astrid]] (advanced sodium technical reactor for industrial demonstration) reactor, with a power generating capacity of 600 mw<sub>e</sub>, is likely to succeed phénix in its role as a french-built [[sodium-cooled fast reactor]] and is also part of the international [[generation iv reactor]] programme.<ref>[http://www.cea.fr/le_cea/actualites/accord_collaboration_areva_cea_astrid-42715]",t
name,phénix,"name=wna-france/>  == see also == * [[superphénix]], the main reactor for which this was the demonstration  ==references== {{reflist}}  ==external links== {{wiktionary}} <!--*[http://www2.ijs.si/~icjt/plants/uni/a/uni110a.html",t
name,phénix,phénix fbr] (drawing)  {{french nuclear power plants}}  {{defaultsort:phenix}} [[category:nuclear power stations in france]] [[category:nuclear technology in france]] [[category:liquid metal fast reactors]],f
location_map,france,"phénix (french for [[wikt:phoenix|phoenix]]) was a small-scale (gross 264/net 233 mw<sub>e</sub>) prototype [[fast breeder reactor]], located at the [[marcoule]] nuclear site, near [[orange, france]].",f
location_map,france,name=wna-france>{{cite web |url=http://www.world-nuclear.org/info/country-profiles/countries-a-f/france/,f
location_map,france,|title=nuclear power in france |publisher=world nuclear association |date=1 february 2015 |accessdate=21 february 2015}}</ref>  [[file:cea marcoule site.jpg|thumb|left|the,f
location_map,france,"name=wna-france/>  == see also == * [[superphénix]], the main reactor for which this was the demonstration  ==references== {{reflist}}  ==external links== {{wiktionary}} <!--*[http://www2.ijs.si/~icjt/plants/uni/a/uni110a.html",f
location_map,france,phénix fbr] (drawing)  {{french nuclear power plants}}  {{defaultsort:phenix}} [[category:nuclear power stations in france]] [[category:nuclear technology in france]] [[category:liquid metal fast reactors]],f
lat_ns,n,"phénix (french for [[wikt:phoenix|phoenix]]) was a small-scale (gross 264/net 233 mw<sub>e</sub>) prototype [[fast breeder reactor]], located at the [[marcoule]] nuclear site, near [[orange, france]].",f
lat_ns,n,"it generated 590&nbsp;mw of thermal power, and had a breeding ratio of 1.12 (12% more [[plutonium]] produced than consumed),  but normally had to be stopped for refueling operations every 2 months.",t
lat_ns,n,phénix continued operating after the closure of the subsequent full-scale prototype [[superphénix]] in 1997.,f
lat_ns,n,"after 2004, its main use was investigation of [[nuclear transmutation|transmutation]] of [[nuclear waste]] while also generating some electricity.",t
lat_ns,n,phénix was shut down in 2009.<ref,f
lat_ns,n,name=wna-france>{{cite web |url=http://www.world-nuclear.org/info/country-profiles/countries-a-f/france/,f
lat_ns,n,|title=nuclear power in france |publisher=world nuclear association |date=1 february 2015 |accessdate=21 february 2015}}</ref>  [[file:cea marcoule site.jpg|thumb|left|the,f
lat_ns,n,"marcoule site, with the phénix reactor on the left side]] construction of phénix began in november 1968.",t
lat_ns,n,the first connection to the french national electricity grid was in december 1973.<ref,f
lat_ns,n,"name=iaea-pris/>  the [[astrid (reactor)|astrid]] (advanced sodium technical reactor for industrial demonstration) reactor, with a power generating capacity of 600 mw<sub>e</sub>, is likely to succeed phénix in its role as a french-built [[sodium-cooled fast reactor]] and is also part of the international [[generation iv reactor]] programme.<ref>[http://www.cea.fr/le_cea/actualites/accord_collaboration_areva_cea_astrid-42715]",t
lat_ns,n,"cea press release, november 9, 2010 (french)</ref>  a decision on construction will be made in 2019.<ref",t
lat_ns,n,"name=wna-france/>  == see also == * [[superphénix]], the main reactor for which this was the demonstration  ==references== {{reflist}}  ==external links== {{wiktionary}} <!--*[http://www2.ijs.si/~icjt/plants/uni/a/uni110a.html",t
lat_ns,n,iarchive has it --> *[https://web.archive.org/web/20050317001455/http://www2.ijs.si/~icjt/plants/uni/a/uni110a.html,f
lat_ns,n,summary of key parameters] *[http://econtent.unm.edu/cdm/singleitem/collection/nuceng/id/61/rec/2,f
lat_ns,n,phénix fbr] (drawing)  {{french nuclear power plants}}  {{defaultsort:phenix}} [[category:nuclear power stations in france]] [[category:nuclear technology in france]] [[category:liquid metal fast reactors]],t
long_d,4,"phénix (french for [[wikt:phoenix|phoenix]]) was a small-scale (gross 264/net 233 mw<sub>e</sub>) prototype [[fast breeder reactor]], located at the [[marcoule]] nuclear site, near [[orange, france]].",t
